,month,temp_f
1,January,18.73129032258063
2,Febuary,24.394999999999985
3,March,37.618225806451605
4,April,44.616749999999975
5,May,61.22798387096768
6,June,68.24124999999998
7,July,73.02209677419353
8,August,72.10274193548379
9,September,61.6719999999999
10,October,51.71895161290322
11,November,33.676500000000004
12,December,26.04862903225806
